,Name,k_c,k_c_se,c_par,c_par__se,k_t,k_t_se,k_tw,k_tw_se,c_per,c_per__se
0,gmx8k,1.377243223794381e-19,4.553835713744882e-22,0.011150796839626026,6.584244331472191e-05,1.101899189274944e-19,2.3385157872164715e-20,1.6963417458973666e-20,8.91613995875709e-21,0.007839676315734519,0.42814334336696086
1,gmx4k,1.3812887493467303e-19,7.213594192749135e-22,0.011152786260557048,0.00013276274612002655,1.2504799897410322e-19,1.5593923031752032e-20,2.3839541979424435e-20,8.960562144053114e-21,0.012688157090663016,0.0069024610184840445
2,gmx1k,1.3994814451879031e-19,1.0910011785421886e-21,0.011327792741370371,0.00019513296590307233,1.5222569791524788e-19,2.28553437189351e-20,3.772014469997608e-20,1.3546902949385775e-20,0.018551902311928246,1.3141939232836324
3,gmx512,1.4298439486303736e-19,1.3729094505866402e-21,0.011375363723536893,0.0002753587026841775,1.3812072647213772e-19,3.27096838841804e-20,3.3513485809482835e-20,4.071337206269168e-20,0.01564402397842467,1.422708343013428
4,gmx32k,1.3697683544568322e-19,2.229258644270236e-22,0.011243664107411445,3.802106995116402e-05,1.1521425752747066e-19,9.247926331016335e-21,1.9335319214459395e-20,4.0814681092547625e-21,0.009981936871130153,0.003810784327378205
